INSTITUIÇÃO;SIGLA.INSTITUIÇÃO;UNIDADE;SIGLA.UNIDADE;username;ID Associado;cod_auxiliar;;;;;;;;;;;;;;;
UNIVERSIDADE FEDERAL DE SANTA MARIA;UFSM;PÓS-GRADUAÇÃO EM ENGENHARIA DE PRODUÇÃO;710;ufsm.br;;ufsm.br;;;;;;;;;;;;;;;
UNIVERSIDADE FEDERAL DE SANTA MARIA;UFSM;GRADUAÇÃO EM ENGENHARIA DE PRODUÇÃO;UFSM;ufsm.br;;ufsm.br;;;;;;;;;;;;;;;
UNIVERSIDADE ESTADUAL PAULISTA;UNESP;FACULDADE DE ENGENHARIA DE BAURU - DEPARTAMENTO DE ENGENHARIA DE PRODUÇÃO;FEB;posgraduacao.feb.unesp;2169;2169;;;;;;;;;;;;;;;
FUNDAÇÃO DE ENSINO E PESQUISA DE ITAJUBÁ;FEPI;FUNDAÇÃO DE ENSINO E PESQUISA DE ITAJUBÁ;FEPI;fepi_oficial;2206;2206;;;;;;;;;;;;;;;
CENTRO UNIVERSITÁRIO DO PARÁ;CESUPA;CESUPA UNIDADE JOSÉ MALCHER;CESUPA;cesupaonline;2170;2170;;;;;;;;;;;;;;;
ASSOCIAÇÃO TERESINENSE DE ENSINO S/C LTDA;ATE;FACULDADE SANTO AGOSTINHO;FSA;fasaconquista;2171;2171;;;;;;;;;;;;;;;
FUNDAÇÃO REGIONAL INTEGRADA - CAMPUS DE ERECHIM;URI;BIBLIOTECA CENTRAL;URI;urierechim;2172;2172;;;;;;;;;;;;;;;
ASSOCIAÇÃO EDUCACIONAL DOM BOSCO;AEDB;ENGENHARIA DE PRODUÇÃO;AEDB;fdombosco;2173;2173;;;;;;;;;;;;;;;
UNIVERSIDADE TECNOLÓGICA FEDERAL DO PARANÁ;UTFPR;COORDENAÇÃO DE ENGENHARIA DE PRODUÇÃO;COENP-MD;caeputfpr;;caeputfpr;;;;;;;;;;;;;;;
ESCOLA SUPERIOR DE ENGENHARIA E GESTÃO;ESEG;DEPTO. DE ENGENHARIA DE PRODUCAO;ESEG-SP;eseg_oficial;2175;2175;;;;;;;;;;;;;;;
FUNDAÇÃO COMUNITÁRIA DE ENSINO SUPERIOR DE ITABIRA;FUNCESI;FACULDADE DE CIÊNCIAS ADMINISTRATIVAS E CONTÁBEIS DE ITABIRA;FACCI;funcesi_itabira;2177;2177;;;;;;;;;;;;;;;
UNIVERSIDADE DO ESTADO DO AMAPÁ;UEAP;AMAPÁ;UEAP;ueap_oficial;1896;1896;;;;;;;;;;;;;;;
UNIVERSIDADE FEDERAL DE GOIÁS;UFG;FACULDADE CIÊNCIAS E TECNOLOGIA;EP;ufg_oficial;;ufg_oficial;;;;;;;;;;;;;;;
FACULDADE SANTÍSSIMO SACRAMENTO;F.SS.S.;COLEGIADO DO CURSO DE ENGENHARIA DA PRODUÇÃO;COLEPO;faculdade.santissimo;2179;2179;;;;;;;;;;;;;;;
ASSOCIAÇÃO LIMEIRENSE DE EDUCAÇÃO E CULTURA;ASLEC;FACULDADES INTEGRADAS EINSTEIN DE LIMEIRA;ASLEC;einsteinlimeira;2180;2180;;;;;;;;;;;;;;;
UNIVERSIDADE DO ESTADO DO AMAZONAS/UEA;UEA;ESCOLA SUPERIOR DE TECNOLOGIA;EST;ueaest;2181;2181;;;;;;;;;;;;;;;
FUNDAÇÃO EDUCACIONAL MONTES CLAROS;FEMC;FACULDADE DE CIÊNCIA E TECNOLOGIA DE MONTES CLAROS;FACIT;engenhariafacit;2182;2182;;;;;;;;;;;;;;;
FUNDAÇÃO EDUCACIONAL DE PATO DE MINAS;FEPAM;FACULDADE DE ENGENHARIA DE PRODUÇÃO;UNIPAM;unipamnet;2183;2183;;;;;;;;;;;;;;;
UNIVERSIDADE DE SÃO PAULO;USP;DEPARTAMENTO DE ENGENHARIA DE PRODUÇÃO DA ESCOLA POLITÉCNICA;PRO-POLI;usp.oficial;2184;2184;;;;;;;;;;;;;;;
UNIVERSIDADE FEDERAL DE UBERLÂNDIA;UFU;FACULDADE DE ENGENHARIA QUÍMICA;FEQ;ufu_oficial;;ufu_oficial;;;;;;;;;;;;;;;
UNIVERSIDADE FEDERAL DO PIAUÍ;UFPI;CURSO DE ENGENHARIA DE PRODUÇÃO;CEP;ufpi;;ufpi;;;;;;;;;;;;;;;
UNIVERSIDADE DE PASSO FUNDO;UPF;FACULADADE DE ENGENHARIA E ARQUTETURA;UPF;universidadeupf;2187;2187;;;;;;;;;;;;;;;
INSTITUTO ADVENTISTA DE ENSINO;IAE;ENGENHEIRO COELHO;UNASP-EC;unaspec;2188;2188;;;;;;;;;;;;;;;
SOCIEDADE EDUCACIONAL DE CAPIVARI DE BAIXO LTDA;SECAB;SOCIEDADE EDUCACIONAL DE CAPIVARI DE BAIXO LTDA;FUCAP;univinte_fucap;2189;2189;;;;;;;;;;;;;;;
FUNDAÇÃO DE APOIO INST. AO DESENV. CIENT. E TEC,;FAI;SETOR DE TRANSFERENCIA DE TECNOLOGIA;FAI;faiufscar;2190;2190;;;;;;;;;;;;;;;
SERVIÇO NACIONAL DE APRENDIZAGEM COMERCIAL - SENAC;SENAC;GERÊNCIA DE DESENVOLVIMENTO 4;GD4;senacsaopaulo;2191;2191;;;;;;;;;;;;;;;
UNIVERSIDADE TECNOLÓGICA FEDERAL DO PARANÁ;UTFPR;LONDRINA;UTFPR - LONDRINA;utfprld;;utfprld;;;;;;;;;;;;;;;
IBMEC;IBMEC;FACULDADE IBMEC;IBMEC;ibmec;2192;2192;;;;;;;;;;;;;;;
UNIÃO BRASILIENSE DE EDUCAÇÃO E CULTURA/FACULDADE CATÓLICA DO TOCANTINS;UBEC/FACTO;FACULDADE CATÓLICA DO TOCANTINS;FACTO;unicatolicaoficial;2193;2193;;;;;;;;;;;;;;;
UNIVERSIDADE DE SÃO PAULO;USP - EEL;UNIVERSIDADE DE SAO PAULO / ESCOLA DE ENGENHARIA DE LORENA;USP / EEL;eel_usp;2194;2194;;;;;;;;;;;;;;;
FUNDAÇÃO INSTITUTO NACIONAL DE TELECOMUNICAÇÕES;INATEL;FUNDAÇÃO INSTITUTO NACIONAL DE TELECOMUNICAÇÕES;INATEL;inatel.tecnologias;2207;2207;;;;;;;;;;;;;;;
FACULDADE INDEPENDENTE DO NORDESTE;FAINOR;COLEGIADO DO CURSO DE ENGENHARIA DE PRODUÇÃO;CCEP;faculdadefainor;2195;2195;;;;;;;;;;;;;;;
PITÁGORAS SISTEMA DE EDUCAÇÃO SUPERIOR SOCIEDADE LTDA.;;PITÁGORAS SISTEMA DE EDUCAÇÃO SUPERIOR SOCIEDADE LTDA.;FACULDADE PITÁGORAS;pitagorasfacul;1893;1893;;;;;;;;;;;;;;;
PONTIFÍCIA UNIVERSIDADE CATÓLICA DE GOIÁS;PUC-GO;ESCOLA DE ENGENHARIA;PUC-GO;pucgoias;2196;2196;;;;;;;;;;;;;;;
UNIVERSIDADE TIRADENTES;UNIT;UNIVERSIDADE TIRADENTES;UNIT;unit_br;2197;2197;;;;;;;;;;;;;;;
FUNDAÇÃO DE APOIO INSTITUCIONAL MURAKI;MURAKI;COORDENAÇÃO;COORD;fundacaomuraki;2198;2198;;;;;;;;;;;;;;;
CENTRO UNIVERSITÁRIO CATÓLICO DE VITÓRIA;UCV;CENTRO UNIVERSITÁRIO CATÓLICO DE VITÓRIA;UCV;unisalesoficial;2199;2199;;;;;;;;;;;;;;;
ASS UNIF PAULISTA DE ENSINO RENOVADO OBJETIVO;ASSUPERO;BIBLIOTECA CENTRAL;UNIP;_unipoficial;2200;2200;;;;;;;;;;;;;;;
