id;media_url;comments_count;like_count;caption;media_type;permalink;timestamp;username
17967995900016243;https://scontent.cdninstagram.com/v/t51.29350-15/319611002_860327058619262_8445197812748268147_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=8ae9d6&_nc_eui2=AeGPVlAoDCsz7gHiFqcs0pJNHvFXf3_0niMe8Vd_f_SeI7Sytu7PmgrJhWOb0nmg2OMwIxJZiaUm6aYhk8qfLaez&_nc_ohc=KqasBB8vqbsAX8iB6Cz&_nc_oc=AQl9_xt4cL8pcq4tBA_aXMWUhsXQ3cZWtA5c3yJFmbXdjDBruPboXyvEN2D90R5WqBE&_nc_ht=scontent.cdninstagram.com&edm=AL-3X8kEAAAA&oh=00_AfCSPvDQ6o7dkeEp57ZPlxGr_8XBEP0rSOgaEv63zP1F6w&oe=63AA6C54;2;98;"TÁ NO SITE!

O programa de extensão Gesto da Floresta, da Ufac, esteve representado na 10ª edição das Jornadas Internacionais de Teatro do Oprimido e Universidade (Jitou), evento que ocorreu de 28 de novembro a 4 de dezembro, em Marabá (PA), organizado pela Universidade Federal do Sul e Sudeste do Pará e outras instituições, tendo como tema “Saberes da Amazônia e Teatro do Oprimido: Caminhos Poéticos Políticos para o Bem Viver”. 

O restante da matéria está no site da Ufac. Link na bio.";IMAGE;https://www.instagram.com/p/CmE4TOWOxYA/;2022-12-12T17:27:22+0000;ufac_oficial
17943452810322288;https://scontent.cdninstagram.com/v/t51.29350-15/319292627_1207506433534148_2823621721195673052_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=8ae9d6&_nc_eui2=AeFNztR1EOd-7g4ZAjG6jKAGmsk2UqHTRtuayTZSodNG243nRxVhJBBmZjTjkoVGLcWDeJ1zPUPtcxbMQRaWP1xR&_nc_ohc=2LC82vFe_4sAX8pNhGC&_nc_ht=scontent.cdninstagram.com&edm=AL-3X8kEAAAA&oh=00_AfDjedN8zOU1J7Oq-_7l9qZFgq1G0yhBGTkx7a4rMIjnFw&oe=63AABFD6;0;230;"TÁ NO SITE!

A reitora da Ufac, Guida Aquino, participou de reunião para assinatura de termo de cooperação técnica e financeira com a Fundação de Tecnologia do Estado do Acre (Funtac) e as Centrais Elétricas do Norte de Brasil (Eletrobras/Eletronorte), na manhã da quinta-feira, 8. O objetivo do termo é a conclusão da implantação da usina de craqueamento para produção de biocombustível (diesel vegetal).

O restante da matéria está no site da Ufac. Link na bio.";IMAGE;https://www.instagram.com/p/CmE4JrAOHUQ/;2022-12-12T17:26:04+0000;ufac_oficial
17857637291830355;https://scontent.cdninstagram.com/v/t51.29350-15/319138331_850800269497976_2841241133212416592_n.jpg?_nc_cat=101&ccb=1-7&_nc_sid=8ae9d6&_nc_eui2=AeGIHohAOZUFxPmmJ9Ipo2Wd0etrEI_3oHfR62sQj_egd78W67ADsoTQXVqm5zC01L6eInGXXOUbt_W409a6v0XR&_nc_ohc=i1014sk4XvIAX_UeoR4&_nc_ht=scontent.cdninstagram.com&edm=AL-3X8kEAAAA&oh=00_AfDCCXSv2QWB7aeoiO_tvB7kxbAB3vqCv-HdTg8BmaLLcw&oe=63AA4751;1;516;"A Reitoria da Universidade Federal do Acre (Ufac) comunica à comunidade universitária que o recesso administrativo para comemoração das festas de fim de ano (Natal e Ano-Novo) será de 19  a 23 de dezembro de 2022 e de 26 a 30 de dezembro de 2022, resguardando, por meio de escala de revezamento de servidores, o funcionamento de setores e unidades administrativas, conforme a Portaria/SGP/SEDGG/ME nº 8.676, de 3 de outubro de 2022, da Secretaria de Gestão de Pessoas. 

O recesso deverá ser compensado até 31 de maio de 2023. As horas usufruídas que não forem compensadas dentro do prazo estabelecido serão objeto de descontos remuneratórios, conforme previsão contida no inciso II do art. 44 da Lei n.º 8.112/90.

Por oportuno, informa também que as unidades acadêmicas seguirão o recesso estabelecido no calendário acadêmico, aprovado em reunião do Conselho Universitário. 

Site da Ufac: www.ufac.br";IMAGE;https://www.instagram.com/p/CmE34N3uT12/;2022-12-12T17:23:41+0000;ufac_oficial
18240041146145949;https://scontent.cdninstagram.com/v/t51.29350-15/318810125_844002183302736_8872966019741562268_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=8ae9d6&_nc_eui2=AeEyT38ZLKAKHTogDLy0k92A5mnTO9VM6SjmadM71UzpKNxZ9X241OwOApUkWrx1ChNOqMHOVirdlbbdRW7YbFgg&_nc_ohc=KVX0Q-jArQgAX9ROc9x&_nc_ht=scontent.cdninstagram.com&edm=AL-3X8kEAAAA&oh=00_AfCr4p_9I_eDcYv1pXw1OCetdwnCimS0mzFglNpu0xfh0A&oe=63AA0C76;1;295;"TÁ NO SITE!

A reitora da Ufac, Guida Aquino, participou da cerimônia de entrega da obra de pavimentação do acesso interno ao Parque Zoobotânico (PZ), na manhã desta quarta-feira, 7. A obra, orçada em mais de R$ 3 milhões, era uma demanda antiga da comunidade acadêmica e dos pesquisadores do PZ; foi executada pelo 7º Batalhão de Engenharia de Construção (BEC). Guida também esteve na entrega do recapeamento asfáltico do estacionamento L, no bloco do curso de Educação Física. 

Mais informações no site da Ufac. Link na bio.";IMAGE;https://www.instagram.com/p/Cl6MN90OpXP/;2022-12-08T13:49:46+0000;ufac_oficial
17996233528585662;https://scontent.cdninstagram.com/v/t51.29350-15/318736900_867581950922729_1463235550269391327_n.jpg?_nc_cat=102&ccb=1-7&_nc_sid=8ae9d6&_nc_eui2=AeH5OObOPoLkDQDCg6b9wJwoKO_xnuEO5Nko7_Ge4Q7k2cLEKQ-5Zlew_Kx-UoeKC5m_jQWaW1ZGGF8Y5o_Ty-oD&_nc_ohc=VZlBYj-oj2oAX8Ba3HB&_nc_ht=scontent.cdninstagram.com&edm=AL-3X8kEAAAA&oh=00_AfDhReBvcf5AgZReLcZm0ner-gqsOXhGiqN3SWLarDhFbA&oe=63AAAD54;2;314;"TÁ NO SITE!

A reitora da Ufac, Guida Aquino, recebeu o prefeito de Rio Branco, Tião Bocalom (PP), para discutir parcerias entre a prefeitura e a universidade no desenvolvimento do projeto 1.001 Dignidades. O encontro ocorreu na tarde dessa terça-feira, 6, no gabinete da Reitoria.

Mais informações no site da Ufac. Link na bio.";IMAGE;https://www.instagram.com/p/Cl4SwfxOOvD/;2022-12-07T20:08:26+0000;ufac_oficial
18061011187354773;https://scontent.cdninstagram.com/v/t51.29350-15/318049338_192697663273919_4691785080183079621_n.jpg?_nc_cat=102&ccb=1-7&_nc_sid=8ae9d6&_nc_eui2=AeHeg0qIjemd-jPw4UnfGV_wkyO3IqyimxKTI7cirKKbEoi4yffUSBjw40a6zH3gMKz3NFi-xXhb2sDZ0CjS6amh&_nc_ohc=pMZNh9bji6gAX9G4oQH&_nc_ht=scontent.cdninstagram.com&edm=AL-3X8kEAAAA&oh=00_AfB-jg1uCjpqBxZ_KQm8TnubiJp4UWjgXptf32dmjyjwpg&oe=63A9EE39;2;242;"TÁ NO SITE!

A aluna Ana Joyce do Carmo Gomes, 11, do projeto de extensão Ensino Coletivo de Cordas, da Ufac, coordenado pelo professor do curso de Música, Leonardo Vieira Feichas, foi selecionada para representar o Acre em concerto que ocorreu no Teatro Amazonas, em Manaus, nesse domingo, 4. Ela tocou saxofone na execução da música “We Are the Champions”, da banda de rock britânica Queen. 

Mais informações no site da Ufac. Link na bio.";IMAGE;https://www.instagram.com/p/Cl1OYL7MYml/;2022-12-06T15:32:26+0000;ufac_oficial
17968375765991148;https://scontent.cdninstagram.com/v/t51.29350-15/318152228_682872510098491_6596199406680663253_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=8ae9d6&_nc_eui2=AeFUNjMR418kEQTGXfpqufce-M2FyvDfHJX4zYXK8N8clSqfpM6-jsdLcnvdZbIriEXf6_AGUndjOz2vweoHAhZq&_nc_ohc=7EVRHNaBcmcAX871vdb&_nc_ht=scontent.cdninstagram.com&edm=AL-3X8kEAAAA&oh=00_AfCrfjz40kTYWeLdTin4u15PLih-4hiiEpO3v2A-xiJW7g&oe=63AA9EF2;0;50;"TÁ NO SITE!

O doutorado interinstitucional (Dinter) em Filosofia, realizado pela parceria entre a Universidade de São Paulo (USP) e a Ufac, tem solenidade de abertura do seu Seminário de Encerramento nesta segunda-feira, 5, às 19h, no anfiteatro Garibaldi Brasil, campus-sede. Na ocasião, ocorre o lançamento do livro “Ensaios de Filosofia: Contribuições do Dinter entre a USP e a Ufac (2017-2022)” (Scientiae Studia, 282 p.), organizado pelo professor do Centro de Filosofia e Ciências Humanas da Ufac, João Silva Lima. O seminário se estende até sexta-feira, 9, com ciclo de palestras.

Mais informações no site da Ufac. Link na bio.";IMAGE;https://www.instagram.com/p/Cl1OMqGskkn/;2022-12-06T15:30:52+0000;ufac_oficial
17986345690680239;https://scontent.cdninstagram.com/v/t51.29350-15/318611084_1297062904387348_2687370507312738885_n.jpg?_nc_cat=104&ccb=1-7&_nc_sid=8ae9d6&_nc_eui2=AeEUdsqMoVawLVYtMcpsW0OJiHd89nUa-V-Id3z2dRr5X5OXpcqVuwJF7XQA5a0yseOkw537pMy4T57mL-1rBwKZ&_nc_ohc=ny7QZy0SmAYAX-KHi3W&_nc_ht=scontent.cdninstagram.com&edm=AL-3X8kEAAAA&oh=00_AfBQcxXdIEknvETnxWM9-oumKV7t0s0cbb9wfSWy2YB7bA&oe=63AA6FAA;6;419;"TÁ NO SITE!

O programa Soul Bilíngue, iniciativa social que democratiza o acesso internacional a alunos de baixa renda, em parceria com a Embaixada dos Estados Unidos, está com inscrições abertas, até 8 de dezembro, para o programa de imersão on-line de inglês, que ainda oferece mentorias individuais, acolhimento emocional e oportunidades de intercâmbio para os jovens mais empenhados. São 180 vagas exclusivas para quem é da região Norte.

Mais informações no site da Ufac. Link na bio.";IMAGE;https://www.instagram.com/p/Cl1JnEMsRa-/;2022-12-06T14:50:47+0000;ufac_oficial
17964693779099191;https://scontent.cdninstagram.com/v/t51.29350-15/318476371_1845040085839729_8199126021473773336_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=8ae9d6&_nc_eui2=AeF4xdSd-_jj22KgTc-rP-K4Jsjyo8t4ZXkmyPKjy3hledJI1W58mjMReaqogEaQA-8jAHRkTpLJ5gNVRyVYcOOr&_nc_ohc=2OD1avYLQnAAX8j9H2V&_nc_oc=AQlHwYxkVxBuXHF_b7z7b8sjaaXb6xTqpoBqUNxon3KMGDSmuejj8iJJbncHNeGTKM0&_nc_ht=scontent.cdninstagram.com&edm=AL-3X8kEAAAA&oh=00_AfCrHpdouM2J1JZbCJOHZ2ocZkwbtPDAPnytM8mGqRe1rw&oe=63A99C4B;1;125;"TÁ NO SITE!

A Ufac realizou a abertura do Seminário do Doutorado Interinstitucional (Dinter) em Direito, que ocorre em parceria com a Universidade de Brasília (UnB), na manhã desta sexta-feira, 2, e se estende até sábado, 3, no anfiteatro Garibaldi Brasil, campus-sede. O evento é aberto à comunidade e tem como tema “Teoria Crítica do Direito em Face dos Riscos às Democracias Contemporâneas”. 

Mais informações no site da Ufac. Link na bio.";IMAGE;https://www.instagram.com/p/ClyeyoLOBkj/;2022-12-05T13:58:08+0000;ufac_oficial
17973634378794611;https://scontent.cdninstagram.com/v/t51.29350-15/317875538_3296059367315160_4387717027274984024_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=8ae9d6&_nc_eui2=AeGh_lRaOpCoZXs1Q990vBkU70x0uSzDcm_vTHS5LMNyb_bw1iFl-kkeOON-8SSR7eih8QkVVvfVE5g_eOUBHwDN&_nc_ohc=36MPxCCacbgAX87047N&_nc_ht=scontent.cdninstagram.com&edm=AL-3X8kEAAAA&oh=00_AfA9vMraxc94VQXpgRanBy2m0UZqF5eHYZtgcim2_nIH5A&oe=63A8DA05;7;435;"Confraternização dos Estudantes da Ufac, com a Reitora e Vice-reitor para o campus Rio Branco.
Dia 06 de dezembro de 2022:
Almoço - 12h 
Jantar - 18h
no Restaurante Universitário.";IMAGE;https://www.instagram.com/p/CluGb77Ost9/;2022-12-03T21:08:22+0000;ufac_oficial
