username;website;name;ig_id;id;profile_picture_url;biography;follows_count;followers_count;media_count
ufabc;http://ufabc.net.br/linknabio/;Universidade Federal do ABC;977133676;17841401370295267;https://scontent.fvdc4-1.fna.fbcdn.net/v/t51.2885-15/321302663_710545900441691_7613526861310551688_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=86c713&_nc_eui2=AeHdi7grFLptWzv2SB7Yp7edvv9b4G896Za-_1vgbz3plrHNNHgEYmdbDpsqnQtw4uetAIzwQBRBg2CbyQtwEvbu&_nc_ohc=k1-_Xt3PDBEAX9Oq49u&_nc_ht=scontent.fvdc4-1.fna&edm=AL-3X8kEAAAA&oh=00_AfB3TQ2CKfFb-XUcQiq4Dfcs462tOzsQQaOScBG_lv2iyQ&oe=63AA60CE;"Perfil oficial da Universidade Federal do ABC 💚 #UFABC
Official account of the Federal University of ABC.
Pública e gratuita. Free and public.";196;34479;2144
ufac_oficial;http://www.ufac.br/;Ufac;2059017068;17841401952057377;https://scontent.fvdc4-1.fna.fbcdn.net/v/t51.2885-15/252682281_3134553976777671_2849751096396895796_n.jpg?_nc_cat=104&ccb=1-7&_nc_sid=86c713&_nc_eui2=AeEQ27MR__HiSs8rZMdjeJkF7D4g1yMY1cjsPiDXIxjVyM3qu3XXX8XEDpBqqLK9cUKZtFfSOvyeeVmjikZzbORU&_nc_ohc=_tpGSc7nzaQAX8JRpFF&_nc_ht=scontent.fvdc4-1.fna&edm=AL-3X8kEAAAA&oh=00_AfCSawRD-6y1UUBoIImAkIhW8HdV3345pbko-TJYzoMa3A&oe=63A929D3;Perfil oficial da Universidade Federal do Acre “Pública, gratuita e de qualidade”. Acesse o site oficial e se mantenha informado.;162;24993;1087
